,0
0,2016-04-02 22:20:00
1,2016-04-02 22:30:00
2,2016-04-02 22:40:00
3,2016-04-02 22:50:00
4,2016-04-02 23:00:00
5,2016-04-02 23:10:00
6,2016-04-02 23:20:00
7,2016-04-02 23:30:00
8,2016-04-02 23:40:00
9,2016-04-02 23:50:00
10,2016-04-03 00:00:00
11,2016-04-03 00:10:00
12,2016-04-07 12:00:00
13,2016-04-07 12:10:00
14,2016-04-07 12:20:00
15,2016-04-07 12:30:00
16,2016-04-07 12:40:00
17,2016-04-07 12:50:00
18,2016-04-07 13:00:00
19,2016-04-07 13:10:00
20,2016-04-07 13:20:00
21,2016-04-07 13:30:00
22,2016-04-07 13:40:00
23,2016-04-07 13:50:00
24,2016-04-07 14:00:00
25,2016-04-07 14:10:00
26,2016-04-07 14:40:00
27,2016-04-07 14:50:00
28,2016-04-07 15:00:00
29,2016-04-07 15:10:00
30,2016-04-07 15:20:00
31,2016-04-07 15:30:00
32,2016-04-07 15:40:00
33,2016-04-07 16:40:00
34,2016-04-07 16:50:00
35,2016-04-07 17:00:00
36,2016-04-07 17:10:00
37,2016-04-07 17:20:00
38,2016-04-07 17:30:00
39,2016-04-07 17:40:00
40,2016-04-07 17:50:00
41,2016-04-07 18:00:00
42,2016-04-07 18:10:00
43,2016-04-07 18:20:00
44,2016-04-07 18:30:00
45,2016-04-07 18:40:00
46,2016-04-07 18:50:00
47,2016-04-07 19:00:00
48,2016-04-07 19:10:00
49,2016-04-07 19:20:00
50,2016-04-07 19:30:00
51,2016-04-07 19:40:00
52,2016-04-07 19:50:00
53,2016-04-07 20:00:00
54,2016-04-07 20:10:00
55,2016-04-07 20:20:00
56,2016-04-07 20:30:00
57,2016-04-07 20:40:00
58,2016-04-07 20:50:00
59,2016-04-07 21:00:00
60,2016-04-07 21:10:00
61,2016-04-07 21:20:00
62,2016-04-07 21:30:00
63,2016-04-07 21:40:00
64,2016-04-07 21:50:00
65,2016-04-07 22:00:00
66,2016-04-07 22:10:00
67,2016-04-07 22:20:00
68,2016-04-07 22:30:00
69,2016-04-07 22:40:00
70,2016-04-07 22:50:00
71,2016-04-07 23:00:00
72,2016-04-07 23:10:00
73,2016-04-07 23:20:00
74,2016-04-07 23:30:00
75,2016-04-07 23:40:00
76,2016-04-07 23:50:00
77,2016-04-08 00:00:00
78,2016-04-08 00:10:00
79,2016-04-08 00:20:00
80,2016-04-08 00:30:00
81,2016-04-08 00:40:00
82,2016-04-08 00:50:00
83,2016-04-08 01:00:00
84,2016-04-08 01:10:00
85,2016-04-08 02:20:00
86,2016-04-08 02:30:00
87,2016-04-08 02:40:00
88,2016-04-08 02:50:00
89,2016-04-13 13:00:00
90,2016-04-13 13:10:00
91,2016-04-13 13:20:00
92,2016-04-13 13:30:00
93,2016-04-13 13:40:00
94,2016-04-13 13:50:00
95,2016-04-13 14:00:00
96,2016-04-13 14:30:00
97,2016-04-13 15:50:00
98,2016-04-13 16:30:00
99,2016-04-13 20:10:00
100,2016-04-13 21:00:00
101,2016-04-13 21:10:00
102,2016-04-13 22:00:00
103,2016-04-13 22:10:00
104,2016-04-18 09:20:00
105,2016-04-18 09:30:00
106,2016-04-18 09:40:00
107,2016-04-18 09:50:00
108,2016-04-18 10:00:00
109,2016-04-18 10:10:00
110,2016-04-18 10:30:00
111,2016-04-18 10:40:00
112,2016-04-18 11:00:00
113,2016-04-20 09:30:00
114,2016-04-20 09:40:00
115,2016-04-20 10:00:00
116,2016-04-20 10:10:00
117,2016-04-20 10:20:00
118,2016-04-20 10:50:00
119,2016-04-20 11:10:00
120,2016-04-20 12:40:00
121,2016-04-20 12:50:00
122,2016-04-20 13:00:00
123,2016-04-20 13:10:00
124,2016-04-20 13:20:00
125,2016-04-20 13:30:00
126,2016-04-20 13:40:00
127,2016-04-20 13:50:00
128,2016-04-20 14:00:00
129,2016-04-20 14:10:00
130,2016-04-20 14:20:00
131,2016-04-20 14:30:00
132,2016-04-20 14:40:00
133,2016-04-20 14:50:00
134,2016-04-20 15:00:00
135,2016-04-20 15:10:00
136,2016-04-20 15:20:00
137,2016-04-20 15:30:00
138,2016-04-20 15:40:00
139,2016-04-26 18:00:00
140,2016-04-26 18:10:00
141,2016-04-28 19:10:00
142,2016-04-28 19:20:00
143,2016-04-28 19:30:00
144,2016-04-28 19:50:00
145,2016-04-28 20:10:00
146,2016-04-28 20:30:00
147,2016-04-28 22:50:00
148,2016-04-28 23:00:00
149,2016-04-28 23:30:00
150,2016-04-28 23:40:00
151,2016-04-29 00:10:00
